,Trees,Learning Rate,Subsample,% Features,Weight of Default,AUC Train,AUC Test 1,AUC Test 2
0,50,0.01,0.5,0.5,1,0.7634237698027422,0.5296146735362303,0.47189840947528633
1,50,0.01,0.8,0.5,1,0.7618306614883275,0.5234276685062025,0.4732981807924473
2,50,0.01,0.5,0.5,5,0.7109233604098638,0.5125377960958869,0.48758961486619024
3,50,0.01,0.8,0.5,5,0.7008840652353305,0.5117209107542915,0.48882761765784094
4,50,0.01,0.5,0.5,10,0.6828922734180182,0.5114567231941562,0.4976499403873775
5,50,0.01,0.8,0.5,10,0.6695015719748557,0.5123472581318419,0.48565094487269245
6,100,0.01,0.5,0.5,1,0.80977381930763,0.5322691017137648,0.4738411347492303
7,100,0.01,0.8,0.5,1,0.8108359177528333,0.5234109390084938,0.47302514619286007
8,100,0.01,0.5,0.5,5,0.7808048878513072,0.5181385543761841,0.48434662567546927
9,100,0.01,0.8,0.5,5,0.7671699841705424,0.5238671586273196,0.4907089070726256
10,100,0.01,0.5,0.5,10,0.7520776277528838,0.5105178973726018,0.4886680298020046
11,100,0.01,0.8,0.5,10,0.7317683419503986,0.5090250132709957,0.4849570656200559
12,300,0.01,0.5,0.5,1,0.8596997842317067,0.5357678951232805,0.4715099906697944
13,300,0.01,0.8,0.5,1,0.8579649123683015,0.5320443904243801,0.4747047947121941
14,300,0.01,0.5,0.5,5,0.8606663829482032,0.5411257648714901,0.4904102537033729
15,300,0.01,0.8,0.5,5,0.8508766340639942,0.5379521333517642,0.4869386275824786
16,300,0.01,0.5,0.5,10,0.8553157416303939,0.5270717626199877,0.4850489652706001
17,300,0.01,0.8,0.5,10,0.8492766399699307,0.5251021805329827,0.4908804066316056
18,50,0.1,0.5,0.5,1,0.8802387669500831,0.525445863198186,0.4866570424623279
19,50,0.1,0.8,0.5,1,0.8723002839931823,0.5331882998211721,0.4626208678523141
20,50,0.1,0.5,0.5,5,0.873431527283129,0.5125582471979592,0.4818962525251772
21,50,0.1,0.8,0.5,5,0.8657705402825691,0.5118867198160845,0.4937789948452904
22,50,0.1,0.5,0.5,10,0.8608293679222515,0.519839981918183,0.4938333858843755
23,50,0.1,0.8,0.5,10,0.8553438220572771,0.5066698566132636,0.504533095777701
24,100,0.1,0.5,0.5,1,0.9212974337096036,0.5359930208330776,0.486052794745161
25,100,0.1,0.8,0.5,1,0.9194634817723452,0.5192878376060895,0.45896448872893275
26,100,0.1,0.5,0.5,5,0.9244179106568142,0.5096175335823674,0.48252659722904323
27,100,0.1,0.8,0.5,5,0.9231439921205808,0.5141108732737822,0.5024314876764618
28,100,0.1,0.5,0.5,10,0.9256760161375397,0.5098112560401094,0.47824076971715057
29,100,0.1,0.8,0.5,10,0.9249596325313026,0.5074110911444084,0.498989480952304
30,300,0.1,0.5,0.5,1,0.9629003363307633,0.5273565621427498,0.4789861461126508
31,300,0.1,0.8,0.5,1,0.963964050955253,0.525618641066391,0.4590738829249061
32,300,0.1,0.5,0.5,5,0.9634324936422215,0.5144685153634099,0.46943114843203076
33,300,0.1,0.8,0.5,5,0.9657441749627625,0.5321690437221716,0.47567475549009003
34,300,0.1,0.5,0.5,10,0.962521370442394,0.525773729726458,0.46839245830204335
35,300,0.1,0.8,0.5,10,0.9661918651338917,0.5152384784990784,0.4918803311225023
36,50,0.01,0.5,1.0,1,0.7637686592841233,0.5210052067017235,0.47194461343875344
37,50,0.01,0.8,1.0,1,0.7557228938556921,0.5212519967838793,0.48369840931788455
38,50,0.01,0.5,1.0,5,0.6887091052546875,0.5265423487222356,0.48395370343185373
39,50,0.01,0.8,1.0,5,0.6565794494071682,0.5258831857914872,0.48345144164564025
40,50,0.01,0.5,1.0,10,0.6297077532018411,0.5203015481056216,0.4956857144755958
41,50,0.01,0.8,1.0,10,0.6362706403500438,0.5179387573876573,0.49709383409583174
42,100,0.01,0.5,1.0,1,0.8005007865657787,0.5229653089217898,0.47966728839617684
43,100,0.01,0.8,1.0,1,0.7947771871019266,0.511127635216247,0.4726301689823338
44,100,0.01,0.5,1.0,5,0.7738611787612082,0.5266748242053148,0.4917338409480533
45,100,0.01,0.8,1.0,5,0.7452088488938166,0.5331776339484477,0.4945371874572953
46,100,0.01,0.5,1.0,10,0.7319714962873028,0.5190360144970804,0.49520069036394754
47,100,0.01,0.8,1.0,10,0.7169020226459242,0.5066355660505707,0.4939739543656122
48,300,0.01,0.5,1.0,1,0.866509234695783,0.5342458380057872,0.4757825483421675
49,300,0.01,0.8,1.0,1,0.8560188684622192,0.5271118850594079,0.47078631986228925
50,300,0.01,0.5,1.0,5,0.8598783087270478,0.5418215903765037,0.4885916790367295
51,300,0.01,0.8,1.0,5,0.8361360014789286,0.5445683443331963,0.4844693170376498
52,300,0.01,0.5,1.0,10,0.8429195096127045,0.5303616417918994,0.4917899153110972
53,300,0.01,0.8,1.0,10,0.8324843015660893,0.5317677239022154,0.48637696030999744
54,50,0.1,0.5,1.0,1,0.8878482601962121,0.5306789896757513,0.47647493829032744
55,50,0.1,0.8,1.0,1,0.8859005723319797,0.5298814157800933,0.47285367942590517
56,50,0.1,0.5,1.0,5,0.8815590207558393,0.5367307027997643,0.4811506301894883
57,50,0.1,0.8,1.0,5,0.8794624491944483,0.5204995729015944,0.46863095743378713
58,50,0.1,0.5,1.0,10,0.8667298346595134,0.5386805263030182,0.4707677021899979
59,50,0.1,0.8,1.0,10,0.8694944564815237,0.5294678678315152,0.49161318269143345
60,100,0.1,0.5,1.0,1,0.9282147731503977,0.5399711241671716,0.4741822893157745
61,100,0.1,0.8,1.0,1,0.9285456255465873,0.5329007029606249,0.47868758018879853
62,100,0.1,0.5,1.0,5,0.933007498141922,0.540421340142915,0.4815636758058843
63,100,0.1,0.8,1.0,5,0.9290442690356087,0.5280079737759126,0.4770371520965614
64,100,0.1,0.5,1.0,10,0.9240381914857487,0.5320446521635881,0.4728751691330678
65,100,0.1,0.8,1.0,10,0.9255610982324352,0.527678643143946,0.4838643233019103
66,300,0.1,0.5,1.0,1,0.9672026555176076,0.5429777006374168,0.4792627659736568
67,300,0.1,0.8,1.0,1,0.9677097546674579,0.529948843617094,0.47024240673876994
68,300,0.1,0.5,1.0,5,0.9680021976544664,0.5426070179370426,0.47445949670056475
69,300,0.1,0.8,1.0,5,0.9690433916289419,0.5190725053049903,0.46454835576522824
70,300,0.1,0.5,1.0,10,0.9656271552487798,0.5331082185293364,0.4722666065319222
71,300,0.1,0.8,1.0,10,0.9693678491305355,0.5296711955728994,0.46495675037938733
