,Trees,Learning Rate,Subsample,% Features,Weight of Default,AUC Train,AUC Test 1,AUC Test 2
0,50,0.01,0.5,0.5,1,0.7889552074293746,0.5255051960163103,0.5359535814498566
1,50,0.01,0.8,0.5,1,0.782946795314648,0.5262095746096458,0.5236126927555379
2,50,0.01,0.5,0.5,5,0.7348352530054331,0.5313480093126259,0.5410807775710048
3,50,0.01,0.8,0.5,5,0.7226432732377057,0.5321788370394486,0.5390220655685676
4,50,0.01,0.5,0.5,10,0.7023619049543078,0.5391652919215644,0.5417499158747854
5,50,0.01,0.8,0.5,10,0.6877688278020422,0.5329896965335181,0.5365987034253873
6,100,0.01,0.5,0.5,1,0.8255641679572168,0.5241922084565847,0.5324366010454326
7,100,0.01,0.8,0.5,1,0.8191351896988924,0.5209223204698733,0.5294107832774761
8,100,0.01,0.5,0.5,5,0.788253376194098,0.5278994775414846,0.5426109179867248
9,100,0.01,0.8,0.5,5,0.7782876929785059,0.5268084881438754,0.5489129293941023
10,100,0.01,0.5,0.5,10,0.7547657278481403,0.5331645138903679,0.5396693384226059
11,100,0.01,0.8,0.5,10,0.7403202609614821,0.5292227052205708,0.5544394347489103
12,300,0.01,0.5,0.5,1,0.8807588472157922,0.5181620309337664,0.5264656833514452
13,300,0.01,0.8,0.5,1,0.8751864261262527,0.5234827642722889,0.5169827268283393
14,300,0.01,0.5,0.5,5,0.8757669509606867,0.5237609387487805,0.5437978135868011
15,300,0.01,0.8,0.5,5,0.8616041677386046,0.5243966513502442,0.5470759784110825
16,300,0.01,0.5,0.5,10,0.8676152269289008,0.5323766020680357,0.5438791821375409
17,300,0.01,0.8,0.5,10,0.861075379718649,0.5297851219889623,0.5382579537268275
18,50,0.1,0.5,0.5,1,0.8989515647466728,0.5209602769974075,0.5071785297935144
19,50,0.1,0.8,0.5,1,0.8861539946806047,0.5167558092660116,0.527328558633528
20,50,0.1,0.5,0.5,5,0.8956504199458155,0.5126214427772597,0.5196759670489987
21,50,0.1,0.8,0.5,5,0.8826085768140222,0.5221984109186689,0.5111872772584931
22,50,0.1,0.5,0.5,10,0.8776052501590907,0.5339044115360173,0.5438902006252893
23,50,0.1,0.8,0.5,10,0.8707125595655589,0.5275401392253164,0.5290309653593066
24,100,0.1,0.5,0.5,1,0.9371767915028942,0.5140444680451357,0.5004079835360977
25,100,0.1,0.8,0.5,1,0.9368574062426744,0.5171489563166857,0.5348837889326912
26,100,0.1,0.5,0.5,5,0.937702363740128,0.5199306575066257,0.5300855329237941
27,100,0.1,0.8,0.5,5,0.9352872607986581,0.5323092950707279,0.5161875715476802
28,100,0.1,0.5,0.5,10,0.9308909348708875,0.539462067465937,0.5338911993408009
29,100,0.1,0.8,0.5,10,0.9316770071843613,0.5343092094459001,0.5398727162373592
30,300,0.1,0.5,0.5,1,0.9743350582379553,0.5154310128877894,0.5050405647246416
31,300,0.1,0.8,0.5,1,0.9753117749962661,0.5170359664039114,0.5444991306666371
32,300,0.1,0.5,0.5,5,0.9760919618986205,0.5182760938803249,0.5371740225867618
33,300,0.1,0.8,0.5,5,0.976044213677112,0.5379073940252499,0.5293343916962455
34,300,0.1,0.5,0.5,10,0.9752569785147549,0.5384152685408664,0.5249250744194434
35,300,0.1,0.8,0.5,10,0.9756974123218144,0.5361601409781198,0.5415313485015573
36,50,0.01,0.5,1.0,1,0.7749713798971272,0.509199712339796,0.5352630514341321
37,50,0.01,0.8,1.0,1,0.7376840359336618,0.49885595534567184,0.55166889631089
38,50,0.01,0.5,1.0,5,0.6941035282218362,0.5254902743104655,0.5145391055877204
39,50,0.01,0.8,1.0,5,0.6955028408782872,0.5239471346212389,0.493847659787825
40,50,0.01,0.5,1.0,10,0.6624571519129268,0.5378678306704756,0.5468429075823972
41,50,0.01,0.8,1.0,10,0.6535382162473476,0.518885122255859,0.5158437059721636
42,100,0.01,0.5,1.0,1,0.8087537814295808,0.5176656656586867,0.5422018208945388
43,100,0.01,0.8,1.0,1,0.8001465936342272,0.5142184411368254,0.556182898750509
44,100,0.01,0.5,1.0,5,0.7670721228747446,0.5321668893257159,0.5267128628540891
45,100,0.01,0.8,1.0,5,0.7756589373221094,0.5216089286433079,0.5100387762010967
46,100,0.01,0.5,1.0,10,0.7381985346069302,0.5410055693721516,0.547791613807466
47,100,0.01,0.8,1.0,10,0.7286603886141485,0.5197510414555436,0.5240062000624888
48,300,0.01,0.5,1.0,1,0.874345560463605,0.5279469334137873,0.5358596370664237
49,300,0.01,0.8,1.0,1,0.859781734705463,0.5259908200598056,0.5359065779478834
50,300,0.01,0.5,1.0,5,0.8613183093875715,0.5328321375906012,0.5216233479462931
51,300,0.01,0.8,1.0,5,0.8523671660279651,0.5331401799897065,0.5090465459965015
52,300,0.01,0.5,1.0,10,0.8508717675479189,0.5388866626312607,0.5316053736263557
53,300,0.01,0.8,1.0,10,0.8425858560674342,0.5434654012784135,0.5169855747003891
